SecurityID,TradeTime,TradePrice,TradeQty,TradeAmount,BuyNo,SellNo,TradeIndex,ChannelNo,TradeBSFlag,BizIndex
600000,20220426093006780,7.850,1200,9420.000,204177,247424,61222,5,S,308277
600000,20220426093006780,7.850,100,785.000,204177,247425,61223,5,S,308278
600000,20220426093006780,7.850,300,2355.000,204177,247426,61224,5,S,308279
600000,20220426093006780,7.850,100,785.000,204177,247837,61373,5,S,308781
600000,20220426093006780,7.860,1900,14934.000,248197,11104,61497,5,B,309234
600000,20220426093006780,7.860,2000,15720.000,248197,80571,61498,5,B,309235
600000,20220426093006780,7.860,300,2358.000,248197,98750,61499,5,B,309236
600000,20220426093006900,7.850,200,1570.000,204177,249153,61811,5,S,310372
600000,20220426093007030,7.850,200,1570.000,204177,252013,62854,5,S,314014
600000,20220426093007550,7.850,1000,7850.000,204177,258229,65063,5,S,321877
600000,20220426093007550,7.850,800,6280.000,204177,258270,65080,5,S,321925
600000,20220426093007550,7.860,2700,21222.000,258406,98750,65130,5,B,322096
600000,20220426093007680,7.850,200,1570.000,204177,258653,65220,5,S,322410
600000,20220426093007680,7.850,200,1570.000,204177,258869,65318,5,S,322689
600000,20220426093007680,7.850,1000,7850.000,204177,259096,65427,5,S,322975
600000,20220426093007680,7.850,900,7065.000,204177,259097,65428,5,S,322976
600000,20220426093007680,7.850,700,5495.000,204177,259098,65429,5,S,322977
600000,20220426093007680,7.850,700,5495.000,204177,259515,65592,5,S,323487
600000,20220426093007680,7.850,1200,9420.000,204177,259516,65593,5,S,323488
600000,20220426093007680,7.850,500,3925.000,204177,259517,65594,5,S,323489
600000,20220426093007680,7.850,800,6280.000,204177,259519,65595,5,S,323491
600000,20220426093007790,7.850,400,3140.000,204177,260539,65922,5,S,324753
600000,20220426093007920,7.860,200,1572.000,261991,98750,66419,5,B,326532
600000,20220426093008190,7.850,3100,24335.000,204177,264244,67353,5,S,329459
600000,20220426093008190,7.850,100,785.000,204177,264622,67497,5,S,329958
600000,20220426093008190,7.850,400,3140.000,204177,264623,67498,5,S,329959
